position,artist,title,gender,ethnicity,genre,year
1,Flo Rida feat. T-Pain,Low,M,Black,Rap,2008
2,Leona Lewis,Bleeding Love,F,Multiracial,Pop,2009
3,Alicia Keys,No One,F,Multiracial,R&B,2010
4,Lil Wayne feat. Static Major,Lollipop,M,Black,Rap,2008
5,Timbaland feat. OneRepublic,Apologize,M,Black,Pop,2008
6,Jordin Sparks feat. Chris Brown,No Air,F,Multiracial,Pop,2008
7,Sara Bareilles,Love Song,F,White,Pop,2008
8,Usher feat. Young Jeezy,Love In This Club,M,Black,R&B,2008
9,Chris Brown,With You,M,Black,Pop,2008
10,Chris Brown,Forever,M,Black,Pop,2008
11,Ray J and Yung Berg,Sexy Can I,M,Black,R&B,2008
12,Rihanna,Take A Bow,F,Multiracial,Pop,2008
13,Coldplay,Viva La Vida,M,White,R&B,2008
14,Katy Perry,I Kissed A Girl,F,White,Pop,2008
15,T.I.,Whatever You Like,M,Black,Rap,2008
16,Rihanna,Disturbia,F,Multiracial,Pop,2008
17,Rihanna,Don't Stop the Music,F,Multiracial,Pop,2008
18,Natasha Bedingfield,Pocketful of Sunshine,F,White,Dance,2008
19,Chris Brown feat. T-Pain,Kiss Kiss,M,Black,Pop,2008
20,Ne-Yo,Closer,M,Black,Dance,2008
21,Colbie Caillat,Bubbly,F,White,Pop,2008
22,Mariah Carey,Touch My Body,F,Multiracial,R&B,2008
23,Madonna feat. Justin Timberlake,4 Minutes,F,White,Dance,2008
24,Pink,So What,F,White,Pop,2008
25,Finger Eleven,Paralyzer,M,White,Pop,2008
26,Fergie,Clumsy,F,White,Pop,2008
27,Jason Mraz,I'm Yours,M,White,Pop,2008
28,Jesse McCartney,Leavin',M,White,Rap,2008
29,Kardinal Offishall feat. Akon,Dangerous,M,Black,Pop,2008
30,Jordin Sparks,Tattoo,F,Multiracial,Pop,2008
31,Miley Cyrus,See You Again,F,White,Pop,2008
32,Metro Station,Shake It,M,White,Pop,2008
33,OneRepublic,Stop And Stare,M,White,Pop,2008
34,Sean Kingston,Take You There,M,Black,Dance,2008
35,M.I.A.,Paper Planes,F,Asian,Pop,2008
36,Katy Perry,Hot N Cold,F,White,Rap,2008
37,T.I. feat. Rihanna,Live Your Life,M,Black,Rap,2008
38,Plies feat. Ne-Yo,Bust It Baby Part 2,M,Black,Dance,2008
39,Estelle feat. Kanye West,American Boy,F,Black,Rap,2008
40,Lil Wayne feat. T-Pain,Got Money,M,Black,Rap,2008
41,Taylor Swift,Our Song,F,White,Country,2008
42,Danity Kane,Damaged,F,Other,Dance,2008
43,Lil Wayne,A Milli,M,Black,Rap,2008
44,Buckcherry,Sorry,M,White,Pop,2008
45,Webbie feat. Lil' Phat and Lil' Boosie,Independent,M,Black,R&B,2008
46,T-Pain feat. Lil Wayne,Can't Believe It,M,Black,R&B,2008
47,Alicia Keys,Like You'll Never See Me Again,F,Multiracial,R&B,2008
48,Taylor Swift,Teardrops On My Guitar,F,White,Pop,2008
49,Pussycat Dolls,When I Grow Up,F,White,Dance,2008
50,Snoop Dogg,Sensual Seduction,M,Black,R&B,2008
51,Colby O'Donis feat. Akon,What You Got,F,Hispanic,Latin,2008
52,3 Doors Down,It'S Not My Time,M,White,Pop,2008
53,Leona Lewis,Better In Time,F,Multiracial,Pop,2008
54,Soulja Boy Tell'em,Crank That (Soulja Boy),M,Black,Pop,2008
55,Linkin Park,Shadow Of The Day,M,White,Pop,2008
56,"Wyclef Jean feat. Akon, Lil Wayne and Niia",Sweetest Girl (Dollar Bill),M,Black,Pop,2008
57,Ne-Yo,Miss Independent,M,Black,R&B,2008
58,Secondhand Serenade,Fall For You,M,White,Pop,2008
59,Flo Rida feat. will.i.am,In The Ayer,M,Black,Rap,2008
60,John Mayer,Say,M,White,Pop,2008
61,Jordin Sparks,One Step at A Time,F,Multiracial,Pop,2008
62,Rihanna feat. Ne-Yo,Hate That I Love You,F,Multiracial,R&B,2008
63,Lupe Fiasco feat. Matthew Santos,Superstar,M,Black,Rap,2008
64,J. Holiday,Suffocate,M,Black,R&B,2008
65,Kevin Rudolf feat. Lil Wayne,Let It Rock,M,White,Pop,2008
66,David Banner feat. Chris Brown,Get Like Me,M,Black,Rap,2008
67,Colbie Caillat,Realize,F,White,Pop,2008
68,Young Jeezy feat. Kanye West,Put On,M,Black,Rap,2008
69,David Cook,The Time Of My Life,M,White,Pop,2008
70,"Three 6 Mafia feat. Project Pat, Young D and Superpower",Lolli Lolli (Pop That Body),M,Black,Pop,2008
71,Baby Bash feat. T-Pain,Cyclone,M,Multiracial,Pop,2008
72,Natasha Bedingfield feat. Sean Kingston,Love Like This,F,White,Dance,2008
73,Jonas Brothers,Burnin' Up,M,White,Pop,2008
74,Kanye West,Love Lockdown,M,Black,Pop,2008
75,The-Dream,I Luv Your Girl,M,Black,R&B,2008
76,David Archuleta,Crush,M,White,Pop,2008
77,Plies feat. Akon,Hypnotized,M,Black,Rap,2008
78,Fergie,Big Girls Don't Cry,F,White,Pop,2008
79,Kanye West feat. T-Pain,Good Life,M,Black,Rap,2008
80,Britney Spears,Womanizer,F,White,Pop,2008
81,Taylor Swift,Love Story,F,White,Country,2008
82,Mary J. Blige,Just Fine,F,Black,R&B,2008
83,Britney Spears,Piece Of Me,F,White,Pop,2008
84,Rick Ross feat. T-Pain,The Boss,M,Black,Dance,2008
85,Kid Rock,All Summer Long,M,White,Country,2008
86,Trey Songz,Can't Help But Wait,M,Black,R&B,2008
87,Gavin DeGraw,In Love With A Girl,M,White,Pop,2008
88,Game feat. Lil Wayne,My Life,M,Black,Rap,2008
89,Keyshia Cole,I Remember,F,Black,R&B,2008
90,Kanye West feat. Dwele,Flashing Lights,M,Black,Rap,2008
91,Lil Wayne feat. Bobby Valentino and Kidd Kidd,Mrs. Officer,F,Black,Rap,2008
92,Miley Cyrus,7 Things,F,White,Pop,2008
93,Trace Adkins,You're Gonna Miss This,M,White,Pop,2008
94,Gavin Rossdale,Love Remains The Same,M,White,Country,2008
95,Daughtry,Feels Like Tonight,M,White,Pop,2008
96,Timbaland feat. Keri Hilson,The Way I Are,M,Black,Pop,2008
97,Saving Abel,Addicted,M,White,Rock,2008
98,Santana feat. Chad Kroeger,Into The Night,M,White,Pop,2008
99,Keyshia Cole,Heaven Sent,F,Black,R&B,2008
100,2 Pistols feat. T-Pain and Tay Dizm,She Got It,M,Black,Rap,2008
101,Black Eyed Peas,Boom Boom Pow,M,Multiracial,,2009
102,Lady Gaga,Poker Face,F,White,,2009
103,Lady Gaga feat. Colby O'Donis,Just Dance,F,White,,2009
104,Black Eyed Peas,I Gotta Feeling,,Multiracial,,2009
105,Taylor Swift,Love Story,,White,,2009
106,Flo Rida,Right Round,,Black,,2009
107,Jason Mraz,I'm Yours,,White,,2009
108,Beyonce,Single Ladies (Put A Ring On It),,Black,,2009
109,Kanye West,Heartless,,Black,,2009
110,All-American Rejects,Gives You Hell,,Other,,2009
111,Taylor Swift,You Belong With Me,,White,,2009
112,T.I. feat. Justin Timberlake,Dead And Gone,,Black,,2009
113,Fray,You Found Me,,White,,2009
114,Kings Of Leon,Use Somebody,,White,Rock,2009
115,Keri Hilson feat. Kanye West and Ne-Yo,Knock You Down,F,Black,,2009
116,Jamie Foxx feat. T-Pain,Blame It,M,Black,,2009
117,Pitbull,I Know You Want Me (Calle Ocho),M,Black,,2009
118,T.I. feat. Rihanna,Live Your Life,M,Black,,2009
119,Soulja Boy Tell 'em feat. Sammie,Kiss Me Thru The Phone,M,Black,,2009
120,Jay Sean feat. Lil Wayne,Down,M,Asian,,2009
121,Miley Cyrus,The Climb,,White,,2009
122,Drake,Best I Ever Had,,Black,,2009
123,Kelly Clarkson,My Life Would Suck Without You,,White,,2009
124,Beyonce,Halo,,Black,,2009
125,Katy Perry,Hot n Cold,,White,,2009
126,Shinedown,Second Chance,,White,,2009
127,Britney Spears,Circus,,White,,2009
128,Kid Cudi,Day 'n' Nite,,Multiracial,,2009
129,Miley Cyrus,Party in the U.S.A.,,White,,2009
130,3OH!3,Don't Trust Me,,White,,2009
131,"Jay-Z, Rihanna and Kanye West",Run This Town,Mix,Black,,2009
132,Kevin Rudolf feat. Lil Wayne,Let It Rock,,Hispanic,,2009
133,Sean Kingston,Fire Burning,,Black,,2009
134,Jason DeRulo,Whatcha Say,,Black,,2009
135,Lady Gaga,Lovegame,,White,,2009
136,Katy Perry,Waking Up In Vegas,,White,,2009
137,Jeremih,Birthday Sex,,Black,,2009
138,Pink,Sober,,White,,2009
139,Britney Spears,Womanizer,,White,,2009
140,T.I.,Whatever You Like,,Black,,2009
141,Mariah Carey,Obsessed,,Multiracial,,2009
142,Ne-Yo,Mad,,Black,,2009
143,Cobra Starship feat. Leighton Meester,Good Girls Go Bad,M,White,,2009
144,Kanye West,Love Lockdown,M,Black,,2009
145,Pink,So What,F,White,,2009
146,Pitbull,Hotel Room Service,M,Black,,2009
147,"Eminem, Dr. Dre and 50 Cent",Crack A Bottle,M,White,,2009
148,Beyonce,If I Were A Boy,F,Black,,2009
149,Keri Hilson feat. Lil Wayne,Turning Me On,,Black,,2009
150,Pussycat Dolls,I Hate This Part,,Multiracial,,2009
151,Nickelback,Gotta Be Somebody,,White,,2009
152,Pink,Please Don't Leave Me,,White,,2009
153,Lady Gaga,Paparazzi,,White,,2009
154,Akon feat. Colby O'Donis and Kardinal Offishall,Beautiful,,Black,,2009
155,Coldplay,Viva la Vida,,White,,2009
156,Akon,Right Now (Na Na Na),,Black,,2009
157,Jordin Sparks,Battlefield,,Multiracial,,2009
158,Flo Rida feat. Wynter,Sugar,,Black,,2009
159,Ne-Yo,Miss Independent,,Black,,2009
160,Owl City,Fireflies,,White,,2009
161,Linkin Park,New Divide,,White,,2009
162,Jay-Z + Alicia Keys,Empire State Of Mind,Mix,Other,,2009
163,Daughtry,No Surprise,,White,,2009
164,Shakira,She Wolf,,Hispanic,,2009
165,Mario feat. Gucci Mane and Sean Garrett,Break Up,,Black,,2009
166,Beyonce,Sweet Dreams,,Black,,2009
167,Young Money,Every Girl,Mix,Multiracial,,2009
168,Colbie Caillat,Fallin' For You,,White,,2009
169,Veronicas,Untouched,F,White,,2009
170,Nickelback,If Today Was Your Last Day,,White,,2009
171,Fabolous feat. The-Dream,Throw It In The Bag,,Black,,2009
172,Boys Like Girls,Love Drunk,,White,,2009
173,Asher Roth,I Love College,,White,,2009
174,Britney Spears,If U Seek Amy,,White,,2009
175,Jason Aldean,Big Green Tractor,,White,,2009
176,Taylor Swift,White Horse,,White,,2009
177,Rihanna,Disturbia,,Multiracial,,2009
178,Green Day,21 Guns,M,White,,2009
179,Soulja Boy Tell'em,Turn My Swag On,,Black,,2009
180,The-Dream,Rockin' That Thang,,Black,,2009
181,Zac Brown Band,Chicken Fried,,Multiracial,,2009
182,Beyonce,Diva,,Black,,2009
183,Iyaz,Replay,,Black,,2009
184,Brad Paisley,Then,M,White,,2009
185,Rob Thomas,Her Diamonds,,White,,2009
186,Jesse McCartney feat. Ludacris,How Do You Sleep?,,White,,2009
187,Britney Spears,3,,White,,2009
188,"Drake feat. Kanye West, Lil Wayne and Eminem",Forever,,Black,,2009
189,Justin Bieber,One Time,,White,,2009
190,Lady Antebellum,I Run To You,Mix,White,,2009
191,Kelly Clarkson,I Do Not Hook Up,,White,,2009
192,John Legend feat. Andre 3000,Green Light,,Black,,2009
193,Billy Currington,People Are Crazy,,White,,2009
194,Zac Brown Band,Whatever It Is,,Multiracial,,2009
195,Kelly Clarkson,Already Gone,,White,,2009
196,Kristinia DeBarge,Goodbye,,Multiracial,,2009
197,Michael Franti and Spearhead feat. Cherine Anderson,Say Hey (I Love You),,Black,,2009
198,Jim Jones and Ron Browz feat. Juelz Santana,Pop Champagne,,Multiracial,,2009
199,Maxwell,Pretty Wings,,Black,,2009
200,Fray,Never Say Never,,White,,2009
201,Ke$ha,TiK ToK,F,White,,2010
202,Lady Antebellum,Need You Now,,White,,2010
203,Train,"Hey, Soul Sister",,White,,2010
204,Katy Perry feat. Snoop Dogg,California Gurls,,White,,2010
205,Usher feat. will.i.am,OMG,,Black,,2010
206,B.o.B feat. Hayley Williams,Airplanes,,Black,,2010
207,Eminem feat. Rihanna,Love The Way You Lie,,White,,2010
208,Lady Gaga,Bad Romance,,White,,2010
209,Taio Cruz,Dynamite,,Black,,2010
210,Taio Cruz feat. Ludacris,Break Your Heart,,Black,,2010
211,B.o.B feat. Bruno Mars,Nothin' On You,,Black,,2010
212,Enrique Iglesias feat. Pitbull,I Like It,,Hispanic,,2010
213,Young Money feat. Lloyd,Bedrock,,Multiracial,,2010
214,Jason Derulo,In My Head,,Black,,2010
215,Rihanna,Rude Boy,,Multiracial,,2010
216,Lady Gaga feat. Beyonce,Telephone,,White,,2010
217,Katy Perry,Teenage Dream,,White,,2010
218,Bruno Mars,Just The Way You Are,,Multiracial,,2010
219,Mike Posner,Cooler Than Me,,White,,2010
220,Black Eyed Peas,Imma Be,,Multiracial,,2010
221,Jay-Z and Alicia Keys,Empire State of Mind,,Multiracial,,2010
222,Usher feat. Pitbull,DJ Got Us Fallin' in Love,,Black,,2010
223,Travie McCoy feat. Bruno Mars,Billionaire,M,Multiracial,,2010
224,Eminem,Not Afraid,,White,,2010
225,Iyaz,Replay,,Black,,2010
226,David Guetta feat. Akon,Sexy Chick,,White,,2010
227,Script,Breakeven,,White,,2010
228,Ke$ha,Your Love Is My Drug,,White,,2010
229,Black Eyed Peas,I Gotta Feeling,,Multiracial,,2010
230,Owl City,Fireflies,,White,,2010
231,Trey Songz feat. Fabolous,Say Aah,,Black,,2010
232,Drake,Find Your Love,,Black,,2010
233,Lady Gaga,Alejandro,,White,,2010
234,Jason Derulo,Ridin' Solo,,Black,,2010
235,Nelly,Just A Dream,,Black,,2010
236,Ludacris,How Low,,Black,,2010
237,Far East Movement feat. The Cataracs and Dev,Like A G6,,Other,,2010
238,Timbaland feat. Justin Timberlake,Carry Out,,Black,,2010
239,Michael Buble,Haven't Met You Yet,,White,,2010
240,Flo Rida feat. David Guetta,Club Can't Handle Me,,Black,,2010
241,Jay Sean feat. Lil Wayne,Down,,Black,,2010
242,La Roux,Bulletproof,,White,,2010
243,Jason Derulo,Whatcha Say,,Black,,2010
244,Justin Bieber feat. Ludacris,Baby,,White,,2010
245,Adam Lambert,Whataya Want From Me,,White,,2010
246,Taylor Swift,Mine,,White,,2010
247,Rihanna,Only Girl (In The World),,Multiracial,,2010
248,Kris Allen,Live Like We're Dying,,White,,2010
249,Rihanna feat. Jeezy,Hard,,Multiracial,,2010
250,Jay-Z and Mr. Hudson,Young Forever,,Black,,2010
251,Ke$ha feat. 3OH!3,Blah Blah Blah,,White,,2010
252,Trey Songz feat. Nicki Minaj,Bottoms Up,,Black,,2010
253,Jay Sean feat. Sean Paul and Lil Jon,Do You Remember,,Black,,2010
254,OneRepublic,All The Right Moves,,White,,2010
255,Orianthi,According To You,,White,,2010
256,Ludacris feat. Nicki Minaj,My Chick Bad,,Black,,2010
257,Taylor Swift,You Belong With Me,,White,,2010
258,Black Eyed Peas,Meet Me Halfway,,Multiracial,,2010
259,Ke$ha,Take It Off,,White,,2010
260,Drake,Over,,Black,,2010
261,Neon Trees,Animal,,White,,2010
262,Maroon 5,Misery,,White,,2010
263,B.o.B feat. Rivers Cuomo,Magic,,Black,,2010
264,Lady Gaga,Paparazzi,,White,,2010
265,New Boyz feat. Ray J,Tie Me Down,,Black,,2010
266,Nicki Minaj,Your Love,,Black,,2010
267,Miley Cyrus,Party In The U.S.A.,,White,,2010
268,Chris Brown feat. Tyga and Kevin McCall,Deuces,,Black,,2010
269,Britney Spears,three,,White,,2010
270,Shontelle,Impossible,,Black,,2010
271,"Drake feat. Kanye West, Lil Wayne and Eminem",Forever,,Black,,2010
272,Boys Like Girls feat. Taylor Swift,Two Is Better Than One,,Other,,2010
273,3OH!3 feat. Ke$ha,My First Kiss,,Black,,2010
274,Kelly Clarkson,Already Gone,,White,,2010
275,Black Eyed Peas,Rock That Body,,Multiracial,,2010
276,OneRepublic,Secrets,,White,,2010
277,Selena Gomez and The Scene,Naturally,,Hispanic,,2010
278,Alicia Keyes,Un-Thinkable (I'm Ready),,White,,2010
279,"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win,,MiddleEast,,2010
280,"Kevin Rudolf feat. Birdman, Jay Sean, and Lil Wayne",I Made It (Cash Money Heroes),,Hispanic,,2010
281,Sugarland,Stuck Like Glue,,White,,2010
282,Usher feat. Plies,Hey Daddy (Daddy's Home),,Black,,2010
283,Usher,There Goes My Baby,,Black,,2010
284,Taylor Swift,Today Was A Fairytale,,White,,2010
285,Timbaland feat. Drake,Say Something,,Black,,2010
286,Beyonce,Sweet Dreams,,Black,,2010
287,Kings of Leon,Use Somebody,,White,,2010
288,Carrie Underwood,Undo It,,White,Country,2010
289,Sean Kingston and Justin Bieber,Eenie Meenie,,White,,2010
290,Lil Wayne feat. Drake,Right Above It,,Black,,2010
291,Miranda Lambert,The House That Built Me,,White,,2010
292,Band Perry,If I Die Young,Mix,Other,,2010
293,Paramore,The Only Exception,Mix,Other,,2010
294,Lady Antebellum,American Honey,Mix,White,,2010
295,Sara Bareilles,King Of Anything,,White,,2010
296,Daughtry,Life After You,,White,,2010
297,Uncle Kraker,Smile,,White,,2010
298,Cali Swag District,Teach Me How To Dougie,,Other,,2010
299,Alicia Keyes,Try Sleeping With A Broken Heart,,White,,2010
300,Jerrod Niemann,"Lover, Lover",,White,,2010
301,Adele,Rolling In The Deep,,White,,2011
302,LMFAO feat. Lauren Bennett and GoonRock,Party Rock Anthem,,Black,,2011
303,Katy Perry,Firework,,White,,2011
304,Katy Perry feat. Kanye West,E.T.,,White,,2011
305,"Pitbull feat. Ne-Yo, Afrojack and Nayer",Give Me Everything,,Hispanic,,2011
306,Bruno Mars,Grenade,,Multiracial,,2011
307,Cee Lo Green,F**K You (Forget You),,Black,,2011
308,Nicki Minaj,Super Bass,,Black,,2011
309,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,,White,,2011
310,Black Eyed Peas,Just Can't Get Enough,,Multiracial,,2011
311,Jennifer Lopez feat. Pitbull,On The Floor,,Hispanic,,2011
312,Rihanna,S&M,,Multiracial,,2011
313,Foster The People,Pumped Up Kicks,,Other,,2011
314,Katy Perry,Last Friday Night (T.G.I.F.),,White,,2011
315,Bruno Mars,Just The Way You Are,,Multiracial,,2011
316,Enrique Iglesias feat. Ludacris and DJ Frank E,Tonight (I'm Lovin' You),,Hispanic,,2011
317,P!Nk,Raise Your Glass,,White,,2011
318,Lady Gaga,Born This Way,,White,,2011
319,P!Nk,F**Kin' Perfect,,White,,2011
320,Rihanna feat. Drake,What's My Name?,,Multiracial,,2011
321,Chris Brown feat. Lil Wayne and Busta Rhymes,Look At Me Now,,Black,,2011
322,Jeremih feat. 50 Cent,Down On Me,,Black,,2011
323,Lil Wayne,How To Love,,Black,,2011
324,Adele,Someone Like You,,White,,2011
325,OneRepublic,Good Life,,White,,2011
326,Bruno Mars,The Lazy Song,,Multiracial,,2011
327,Britney Spears,Till The World Ends,,White,,2011
328,Lupe Fiasco,The Show Goes On,,Black,,2011
329,Lady Gaga,The Edge Of Glory,,White,,2011
330,Ke$Ha,We R Who We R,,White,,2011
331,Wiz Khalifa,Black And Yellow,,Black,,2011
332,Hot Chelle Rae,Tonight Tonight,,Black,,2011
333,Ke$Ha,Blow,,White,,2011
334,Bad Meets Evil feat. Bruno Mars,Lighters,,White,,2011
335,Band Perry,If I Die Young,Mix,Other,,2011
336,Gym Class Heroes feat. Adam Levine,Stereo Hearts,,Other,,2011
337,Black Eyed Peas,The Time (Dirty Bit),,Multiracial,,2011
338,Diddy - Dirty Money feat. Skylar Grey,Coming Home,,Black,,2011
339,Pitbull feat. T-Pain,Hey Baby (Drop It To The Floor),,Hispanic,,2011
340,Rihanna,Only Girl (In The World),,Multiracial,,2011
341,Lil Wayne feat. Cory Gunz,6 Foot 7 Foot,,Black,,2011
342,Lady Antebellum,Just A Kiss,Mix,White,,2011
343,Jason Aldean,Dirt Road Anthem,,White,,2011
344,Taio Cruz,Dynamite,,Black,,2011
345,Waka Flocka Flame feat. Roscoe Dash and Wale,No Hands,,Black,,2011
346,Britney Spears,I Wanna Go,,White,,2011
347,"DJ Khaled feat. Drake, Rick Ross and Lil Wayne",I'm On One,,MiddleEast,,2011
348,Cobra Starship feat. Sabi,You Make Me Feel...,,White,,2011
349,Chris Brown,Yeah 3x,,Black,,2011
